,Title,Published_date,Views,Likes,Length,Link
144,SDE Preparation in 3 hours,05-04-2023,3181,154,0 days 02:55:27,https://www.youtube.com/watch?v=ftDoBLp-OfU
96,CodeCamp Day 2 | Exploring Arrays and Problem Solving,11-06-2023,7031,308,0 days 02:29:20,https://www.youtube.com/watch?v=OMHeYpQCCPE
77,CodeCamp Day 13 | Discovering Graph Traversal Algorithms,22-06-2023,1023,45,0 days 02:14:24,https://www.youtube.com/watch?v=hgkjJD5hb5g
68,CodeCamp Day 19 | Exploring Advanced Topics in DSA,28-06-2023,1526,48,0 days 02:13:39,https://www.youtube.com/watch?v=kLZGFHK_bIc
81,CodeCamp Day 11 | Journey into Binary Trees,20-06-2023,1412,64,0 days 02:10:41,https://www.youtube.com/watch?v=U1UKjsA4jNg
71,CodeCamp Day 17 | Mastering Greedy Algorithms,26-06-2023,1527,54,0 days 02:10:21,https://www.youtube.com/watch?v=S_0_KBouYrA
69,CodeCamp Day 18 | Conquering Divide and Conquer Strategies,27-06-2023,1144,45,0 days 02:09:30,https://www.youtube.com/watch?v=YMj4eEePFhY
97,CodeCamp Day 1 | DSA Fundamentals and Problem-Solving Challenges,10-06-2023,24428,947,0 days 02:08:37,https://www.youtube.com/watch?v=Zdp5vIHP9-c
82,CodeCamp Day 10 | Tackling Complex Problems with Recursion and Backtracking,19-06-2023,1303,57,0 days 02:08:23,https://www.youtube.com/watch?v=LfnOtw-og8Q
93,CodeCamp Day 4 | Understanding Stacks and Queues and Problem Solving,13-06-2023,2322,95,0 days 02:05:01,https://www.youtube.com/watch?v=zHSfIM0Wf-Q
67,CodeCamp Day 20 | Reviewing Key Concepts and Techniques,29-06-2023,901,35,0 days 02:00:44,https://www.youtube.com/watch?v=T9TeNzB2Z24
94,CodeCamp Day 3 | Mastering Linked Lists and Problem Solving,13-06-2023,3566,161,0 days 01:52:33,https://www.youtube.com/watch?v=u412j5nA3TQ
84,CodeCamp Day 9 |  Unraveling Backtracking Techniques,19-06-2023,1592,65,0 days 01:52:27,https://www.youtube.com/watch?v=Br70MkraikE
79,CodeCamp Day 12 | Graph Theory Unveiled,22-06-2023,1230,53,0 days 01:50:00,https://www.youtube.com/watch?v=q4ZVVImMiJU
65,CodeCamp Day 21 | Final Challenge Integrating DSA Concepts,01-07-2023,1400,47,0 days 01:47:02,https://www.youtube.com/watch?v=6GyV6KNYr0w
76,CodeCamp Day 14 | Unleashing the Power of Dynamic Programming,24-06-2023,1177,37,0 days 01:45:09,https://www.youtube.com/watch?v=imnKxqlITf8
88,CodeCamp Day 7 | Advanced Sorting techniques and Problem Solving,17-06-2023,1843,55,0 days 01:41:39,https://www.youtube.com/watch?v=8ZUfxmpIjXg
86,CodeCamp Day 8 | Exploring the Magic of Recursion,18-06-2023,1869,76,0 days 01:39:46,https://www.youtube.com/watch?v=92JFtTEc04E
90,CodeCamp Day 6 | Sorting Techniques Demystified,16-06-2023,1865,68,0 days 01:33:47,https://www.youtube.com/watch?v=nIBPrp3iOzE
92,CodeCamp Day 5 | Mastering Searching Algorithms,15-06-2023,2048,97,0 days 01:29:24,https://www.youtube.com/watch?v=QrMdQl8pP_A
