,Title,Published_date,Views,Likes,Length,Link,,,,
201,The Art of Becoming a Successful Coder | GeeksforGeeks,07-02-2023,6739,339,0 days 00:15:06,https://www.youtube.com/watch?v=jO2SyGwS4bA,,,,
200,CodeCast Ep. 2 | SDE Without A Technical Degree? | GeeksforGeeks,08-02-2023,1900,77,0 days 00:06:55,https://www.youtube.com/watch?v=XlcpYRp0ouc,,,,
199,"Coder hun, Give up nhi karta… 🥹",09-02-2023,5379,142,0 days 00:00:07,https://www.youtube.com/watch?v=6a5CJuM3R_0,,,,
198,Roadmap To Master Recursion? Roadmap To Master Recursion! | GeeksforGeeks,13-02-2023,2411,112,0 days 00:01:52,https://www.youtube.com/watch?v=51JvvwqQmlQ,,,,
197,Coders Tell Us: “Pyaar Kya Hai?”,14-02-2023,5634,230,0 days 00:01:00,https://www.youtube.com/watch?v=qIRBk1OkfoA,,,,
196,A.I. Apps That Can Change Your Lives | GeeksforGeeks,15-02-2023,2855,157,0 days 00:03:30,https://www.youtube.com/watch?v=kApRNheEJ8Q,,,,
194,An Opportunity for Recruiters to Hire Top Tech Talent | Jobs Fair 2023 | GeeksforGeeks,16-02-2023,1794,66,0 days 00:00:26,https://www.youtube.com/watch?v=RbQt5dz8Dws,,,,
195,🥲🥲,16-02-2023,5339,62,0 days 00:00:05,https://www.youtube.com/watch?v=dOoiIwmXo20,,,,
193,"Meet Shikar Goel, CTO of GeeksforGeeks | Know His Journey",17-02-2023,1655,61,0 days 00:37:22,https://www.youtube.com/watch?v=d2zk6YEqGsM,,,,
192,🎊Celebrating Bi-Wizard's First Anniversary🎊 | Join the Best Young Coders in the World,19-02-2023,612,22,0 days 00:00:31,https://www.youtube.com/watch?v=D8aEoRbwC64,,,,
191,Get Started With Machine Learning | GeeksforGeeks,20-02-2023,1686,76,0 days 00:15:30,https://www.youtube.com/watch?v=RSVndjS2gMM,,,,
190,Learn System Design with GeeksforGeeks,21-02-2023,118333,633,0 days 00:00:36,https://www.youtube.com/watch?v=XQEZ07JhVuA,,,,
189,OpenAI's ChatGPT & GPT 4 | Google's BARD AI | Will AI Replace You?,21-02-2023,1935,55,0 days 00:35:45,https://www.youtube.com/watch?v=2RcaFQzCgys,,,,
188,GeeksforGeeks Job Fair 2023,22-02-2023,25806,49,0 days 00:00:31,https://www.youtube.com/watch?v=xIC1IFPod9Y,,,,
187,Solving For India Hackathon | @googlecloud X AMD | GeeksforGeeks,23-02-2023,2440,57,0 days 00:00:47,https://www.youtube.com/watch?v=p0FQuaFLh0A,,,,
186,Can you solve this puzzle? | Give your answers in comments 👇🏻,25-02-2023,2406,119,0 days 00:00:33,https://www.youtube.com/watch?v=CGZkoNtQl_U,,,,
185,Google Cloud X AMD and GeeksforGeeks Goes to Colleges With Some Fun Twist!,27-02-2023,1481,35,0 days 00:01:05,https://www.youtube.com/watch?v=RQuaGniMRUU,,,,
184,Meet POE | Chabot by QUORA ft @thegeekmonk1707,02-03-2023,2743,130,0 days 00:00:58,https://www.youtube.com/watch?v=wxXFN8F9ays,,,,
181,Roadmap to Amazon | Twinkle Bajaj - SDE at Amazon,04-03-2023,1745,52,0 days 00:18:30,https://www.youtube.com/watch?v=nRbR9A_8nMQ,,,,
182,Which one are you?,04-03-2023,3192,102,0 days 00:00:38,https://www.youtube.com/watch?v=OdZfOU8jWfY,,,,
183,To Switch or Not To Switch?,04-03-2023,4391,181,0 days 00:00:43,https://www.youtube.com/watch?v=CS5nJyQAxTw,,,,
180,A Step-by-Step Guide to Start with Google Cloud Services & AMD Instances | GeeksforGeeks,05-03-2023,12274,551,0 days 01:06:39,https://www.youtube.com/watch?v=FGsB6rVxh5o,,,,
179,Should You Switch for More Money?,06-03-2023,2674,111,0 days 00:00:50,https://www.youtube.com/watch?v=novPfJtoTsQ,,,,
178,Empowering women coders || GeeksforGeeks,06-03-2023,948,35,0 days 00:28:43,https://www.youtube.com/watch?v=ELZoGm7QWAs,,,,
